BOS please show me airlines with flights from dallas to nashville stop burbank EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name atis_airline
BOS what kind of airplane goes from brooklyn to fort worth thursday stopping in seattle in the afternoon 1st class flight EOS	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name O O B-stoploc.city_name O O B-depart_time.period_of_day B-class_type I-class_type O atis_aircraft
BOS list number of aircraft that fly between stockton and san francisco EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_aircraft
BOS ground san jose EOS	B-city_name I-city_name atis_ground_service
BOS whats the lowest round trip fare from ottawa to appleton EOS	O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what ground transportation is available in columbus tomorrow EOS	O O O O O B-city_name B-today_relative atis_ground_service
BOS what is the ground transportation available in san francisco EOS	O O O O O O B-city_name I-city_name atis_ground_service
BOS ground transportation philadelphia EOS	O B-city_name atis_ground_service
BOS show me the ground transportation in the salt lake city airport EOS	O O O O O O B-airport_name I-airport_name I-airport_name I-airport_name atis_ground_service
BOS what is the cheapest one way fare from san antonio to pittsburgh on wednesday october twenty first EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number atis_airfare
BOS what kind of aircraft is used on the first class northwest airline flight from riverside to port land with a stratford stopover EOS	O O O O O O O B-class_type I-class_type B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name O atis_aircraft
BOS sure id like to determine what aircraft are use on jun seventh leaving from nashville and arriving in minneapolis on jun seventh EOS	O O O O O O O O O B-depart_date.month_name B-depart_date.day_number O O B-fromloc.city_name O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number atis_aircraft
BOS point me ground transportation in minneapolis and in indianapolis EOS	O O O O B-city_name O O B-city_name atis_ground_service
BOS what is the cost for these flights from ontario to nashville EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS how long does the ground transportation take from the city of boston airport EOS	O O O O O O O O B-airport_name I-airport_name I-airport_name I-airport_name atis_ground_service
BOS show me airline going from pittsburgh going to denver and then proceeding to san francisco on mon EOS	O O O O B-fromloc.city_name O O B-toloc.city_name O O O O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name atis_airline
BOS tell me about ground transportation in ny city airport EOS	O O O O O B-airport_name I-airport_name I-airport_name atis_ground_service
BOS how much is a 1st class ticket from cleveland to st paul EOS	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what types of ground transportation are available in manhattan EOS	O O O O O O O B-city_name atis_ground_service
BOS what type of aircraft leaves from tampa to washington dc at 12 am during a weekday EOS	O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_time.time I-depart_time.time O O B-flight_mod atis_aircraft
BOS what kind of ground transportation is available in cleveland EOS	O O O O O O O B-city_name atis_ground_service
BOS show me airlines between queens and port land EOS	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airline
BOS what is the schedule of ground transportation from the airport in cleveland into downtown EOS	O O B-flight_time O O O O O O O B-fromloc.city_name O O atis_ground_service
BOS what time does the sunday noon 755 flight leaving washington arrive in san francisco EOS	B-flight_time O O B-depart_date.day_name B-depart_time.period_of_day B-depart_time.time O O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name atis_flight_time
BOS ground transportation minneapolis EOS	O B-city_name atis_ground_service
BOS what is the cheapest one way ticket from burbank to riverside EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show prices for all flights from houston to tacoma on jul twenty ninth EOS	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number atis_airfare
BOS what airlines fly from manhattan to ottawa EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS please give me the cheapest round trip airfare from columbus to tacoma on june the first EOS	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name O B-depart_date.day_number atis_airfare
BOS what ground transportation is available in houston EOS	O O O O O B-city_name atis_ground_service
BOS what is the priciest one way route from boston to richmond EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me round trip fares from boston to austin EOS	O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS tell me about ground transportation at las vegas EOS	O O O O O B-city_name I-city_name atis_ground_service
BOS what types of ground transportation are there to las vegas airport EOS	O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name atis_ground_service
BOS i would like your rates between philly and detroit on january third EOS	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_airfare
BOS what are the round trip fares for flights from ottawa to charlotte arriving after 1700 on northwest EOS	O O B-round_trip I-round_trip O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time O B-airline_name atis_airfare
BOS what is deltas schedule of morning flights ro atlanta EOS	O B-airline_name B-flight_time O B-depart_time.period_of_day O O B-toloc.city_name atis_flight_time
BOS all right give me the flight times in the night on jun twentieth from appleton to las vegas EOS	O O O O B-flight_time I-flight_time O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight_time
BOS what is the fare on the thrift economy flight from manhattan to san diego EOS	O O O O O B-class_type B-economy O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS how many stops on continental 1765 from orlando to port land EOS	O O O B-airline_name B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_quantity
BOS what is the lowest fare from dallas to montreal EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what kind of airplane is flight ua 281 from austin to milwaukee EOS	O O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS what is the cheapest round trip fare from columbus to manhattan EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what form of ground transit is there once i get to dallas EOS	O O O O O O O O O O B-city_name atis_ground_service
BOS what us air first class airfare flights are available from boston to milwaukee on august three EOS	B-airline_name I-airline_name B-class_type I-class_type O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_airfare
BOS how much does a 1st class round trip ticket from tampa to bristol on lufthansa airlines cost EOS	O O O B-class_type I-class_type B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O atis_airfare
BOS how many flights does united airlines have from burbank to bristol EOS	O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name atis_quantity
BOS what fare codes cover flights from memphis to port land EOS	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_abbreviation
BOS ground transportation from airport in ontario to downtown ontario EOS	O O O O B-fromloc.city_name O O B-toloc.city_name atis_ground_service
BOS what airlines fly from philly to washington EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS can you show me fares for jun sixteenth from manhattan to dallas one way only EOS	O O O O O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O atis_airfare
BOS what are the times that you have planes leaving from san francisco going to milwaukee on june seventh EOS	O O B-flight_time O O O O O O B-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight_time
BOS what is the cheapest one way fare from ontario to austin traveling on tue apr twentieth EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number atis_airfare
BOS how much is a flight from washington to burbank EOS	O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what ground transportation is there in cincinnati EOS	O O O O O B-city_name atis_ground_service
BOS what is the economy thrift fare from stratford to washington EOS	O O B-economy B-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me ground transportation in pittsburgh and in stratford EOS	O O O O B-city_name O O B-city_name atis_ground_service
BOS which airlines fly between toronto and pittsburgh EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS what does it cost to fly from sanford to philadelphia on american airline EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name atis_airfare
BOS can you find out about the ground transportation available in cincinnati EOS	O O O O O O O O O B-city_name atis_ground_service
BOS please list the flight times from philadelphia to stratford EOS	O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS could you please tell me the airlines that fly from cleveland to colorado springs EOS	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airline
BOS how many flights come from seattle to la on jun nineteenth EOS	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_quantity
BOS what type of aircraft is used on air canada flight 315 EOS	O O O O O O B-airline_name I-airline_name O B-flight_number atis_aircraft
BOS show me information on ground transportation for brooklyn EOS	O O O O O O B-city_name atis_ground_service
BOS cheapest fare from burbank to la EOS	O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS i would like the time your earliest flight from washington to riverside EOS	O O O B-flight_time O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS list all the airlines that service cincinnati EOS	O O O O O B-city_name atis_airline
BOS which airline serves austin cincinnati and ottawa EOS	O O B-fromloc.city_name B-fromloc.city_name O B-fromloc.city_name atis_airline
BOS show me fares from philly to brooklyn that cost less than 300 dollars EOS	O O O B-fromloc.city_name O B-toloc.city_name O O B-cost_relative O B-fare_amount I-fare_amount atis_airfare
BOS which airlines fly into and out of seattle EOS	O O O O O O B-city_name atis_airline
BOS i need a ticket from kansas city to hartford that leaves early in the afternoon EOS	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_mod O O B-depart_time.period_of_day atis_airfare
BOS show me hartford ground transportation EOS	O B-city_name O O atis_ground_service
BOS what are the prices of the flights from milwaukee to queens EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the 1st class fare from philadelphia to cleveland EOS	O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS how many nonstop flights going from tokyo to oakland july twenty sixth EOS	O B-flight_stop O O O B-fromloc.city_name O B-toloc.city_name B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number atis_quantity
BOS what kind of ground transportation is there in la EOS	O O O O O O O B-city_name atis_ground_service
BOS in ottawa what kind of ground transportation is there from the airport to downtown EOS	B-city_name O O O O O O O O O O O O atis_ground_service
BOS whats the cost of a first class fare from manhattan to san antonio EOS	O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what is the fare on october seventh going one way from seattle to st louis EOS	O O O O B-depart_date.month_name B-depart_date.day_number O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS could you please give me a one way fare from riverside to sanford EOS	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the cheapest fare for a one way flight from pittsburgh to manhattan EOS	O O B-cost_relative O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me all fares between detroit and san francisco that are less than two-hundred dollars one way EOS	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip atis_airfare
BOS please send me the prices for all flights from straford to hartford this saturday EOS	O O O O O O O O B-fromloc.city_name O B-toloc.airport_name I-toloc.airport_name B-depart_date.date_relative B-depart_date.day_name atis_airfare
BOS what is the round trip cost of a 1st class ticket from queens to port land EOS	O O B-round_trip I-round_trip O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS show me first class fares from tacoma to manhattan EOS	O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS does any airline offer dc10 service between toronto and montreal EOS	O O O B-aircraft_code O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS what is the schedule of flights from hartford to ontario next thu EOS	O O B-flight_time O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name atis_flight_time
BOS how many airplane are there between san francisco and cincinnati on september eighteenth EOS	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_quantity
BOS show me fares leaving on tuesdays from newark to brooklyn EOS	O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS us 771 la to pittsburgh what is the fare EOS	B-flight_number B-fromloc.city_name O B-toloc.city_name O O O O atis_airfare
BOS show me ground transportation information for nearby area EOS	O O O O O B-city_name I-city_name atis_ground_service
BOS what ground transportation is available in stratford EOS	O O O O O B-city_name atis_ground_service
BOS what ground transportation is available from the philly airport to the town EOS	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O atis_ground_service
BOS what type of aircraft is used flying from orlando to bristol before 8 night EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_aircraft
BOS show me the ground transportation in queens EOS	O O O O O B-city_name atis_ground_service
BOS cheapest airfare from minneapolis to riverside EOS	O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS please show me airlines with flights from austin to memphis with a stopover in nashville EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name atis_airline
BOS how many midway airlines flights leave memphis jan tenth EOS	O B-airline_name I-airline_name O O B-fromloc.city_name B-depart_date.month_name B-depart_date.day_number atis_quantity
BOS in economy class from ottawa to riverside arriving march seventh id like to know whats the cheapest ticket possible EOS	B-economy I-economy O B-fromloc.city_name O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number O O O O O O B-cost_relative O O atis_airfare
BOS um could you get me a round trip ticket from indianapolis to virginia city EOS	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS whats the cheapest fare from port land to riverside EOS	O B-cost_relative O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airfare
BOS whats the lowest round trip fare from spurs to scott EOS	O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show all airlines with flights between charlotte and sanford EOS	O O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS show me fares leaving on tuesdays from tampa to go to seattle EOS	O O O O B-depart_date.day_name O B-fromloc.city_name O O O B-toloc.city_name atis_airfare
BOS show me the type of aircraft that frontier airlines uses EOS	O O O O O O B-airline_name I-airline_name O atis_aircraft
BOS what times does the late morning flight leave from washington for brooklyn EOS	B-flight_time O O B-depart_time.period_of_day I-depart_time.period_of_day O O O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS i would like to know the types of ground transportation from the airport to st louis EOS	O O O O O O O O O O O O O B-city_name I-city_name atis_ground_service
BOS what are the different classes of service and the prices for us airlines EOS	O O O O O O O O O O B-airline_name I-airline_name atis_airfare
BOS i would like information on ground transportation in queens from the airport to the city in the morning around 10 am EOS	O O O O O O O B-city_name O O O O O O O O B-period_of_day B-time_relative B-time I-time atis_ground_service
BOS what ground transportation is available in santa monica EOS	O O O O O B-city_name I-city_name atis_ground_service
BOS what does trips code y mean EOS	O O O B-fare_basis_code O atis_abbreviation
BOS what kind of ground transportation is available in stratford EOS	O O O O O O O B-city_name atis_ground_service
BOS show me the cheapest fare from montreal to baltimore EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me the ground transportation to st petersburg EOS	O O O O O B-city_name I-city_name atis_ground_service
BOS how many cities are served by midwest with first class flights EOS	O O O O O B-airline_name O B-class_type I-class_type O atis_quantity
BOS please show me ground transportation in stratford EOS	O O O O O B-city_name atis_ground_service
BOS show me fares from brooklyn to appleton EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS whats the 1st class fare round trip from appleton to pittsburgh EOS	O B-class_type I-class_type O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS how much does it cost to fly northwest airline from brooklyn to cleveland EOS	O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the fare from san francisco to new york city on southwest flight 852 EOS	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-airline_name O B-flight_number atis_airfare
BOS please show me airlines with flight service from orlando to philly from philly to riverside and from riverside to orlando EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS ground transportation in st paul EOS	O O B-city_name I-city_name atis_ground_service
BOS how much does it cost to fly from charlotte to denver EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS how many flights does lufthansa airline have from montreal to memphis EOS	O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name atis_quantity
BOS what round trip tickets are there from nashville to ny on continental airlines that arrive before 1 pm EOS	B-round_trip I-round_trip O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time atis_airfare
BOS how many flights does each airline have with 1st class service EOS	O O O O O O O B-class_type I-class_type O atis_quantity
BOS show me all the cheapest fares from port land to chicago leaving on wednesday EOS	O O O B-cost_relative O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name atis_airfare
BOS repeating leaving newark to san antonio before 5 am what type of aircraft is used EOS	O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O O O O atis_aircraft
BOS is there an airline that has a flight from nashville to kansas city with a stop in cincinnati EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name atis_airline
BOS is there ground transportation from los angeles airport to the downtown area EOS	O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O O O atis_ground_service
BOS i am looking to get one air fare from charlotte to colorado springs on a 747 leaving jan twenty seventh EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-aircraft_code O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number atis_airfare
BOS is there ground transportation in boston EOS	O O O O B-city_name atis_ground_service
BOS does mw stand for midwest EOS	B-airline_code O O B-airline_name atis_abbreviation
BOS which airlines serve cleveland EOS	O O B-city_name atis_airline
BOS seattle ground transportation EOS	O O atis_ground_service
BOS kindly give me the type of aircraft used to fly from manhattan to philly EOS	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS what types of aircraft can i get a 1st class ticket from pittsburgh to philadelphia EOS	O O O O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS show me fares from manhattan to san francisco EOS	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS which airlines provide direct flights between washington and austin EOS	O O B-connect O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS how many cities are served by twa with 1st class flights EOS	O O O O O B-airline_code O B-class_type I-class_type O atis_quantity
BOS show me the cheapest fare from houston to nashville EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what airlines fly between fort worth and nashville EOS	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airline
BOS whats the fare for southwest flight 217 from philadelphia to santa monica EOS	O O O B-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS can you please tell me the type of aircraft used flying from seattle to brooklyn on nationair flight 825 leaving at 555 EOS	O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name O B-flight_number O O B-depart_time.time atis_aircraft
BOS what airline are there EOS	O O O atis_airline
BOS what is the cheapest fare for flights from hartford to brooklyn EOS	O O B-cost_relative O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS how many flights does eastern have with a class of service code f EOS	O O O B-airline_name O O O O O O O B-fare_basis_code atis_quantity
BOS ground transportation long beach EOS	O B-city_name I-city_name atis_ground_service
BOS tell me about ground transportation at dallas fort worth EOS	O O O O O B-city_name I-city_name I-city_name atis_ground_service
BOS id like a ticket from baltimore to toronto with a stopover in brooklyn is this possible EOS	O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name O O O atis_airfare
BOS what are the coach fares from philadelphia to pittsburgh sat afternoon EOS	O O B-class_type O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day atis_airfare
BOS what ground transportation is available at sanford EOS	O O O O O B-city_name atis_ground_service
BOS what type of aircraft leaving after 8 am from tampa to boston EOS	O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS what is the least expensive one way fare from austin to nashville EOS	O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS im traveling from philly to denver and id like to go sometime after 2 am but i want to know what kind of airplane its on EOS	O O B-fromloc.city_name O B-toloc.city_name O O O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O O O O O O O O O atis_aircraft
BOS i need ground transportation in hartford EOS	O O O O B-city_name atis_ground_service
BOS id like to see all the economy fares from newark to pittsburgh EOS	O O O O O B-economy O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the cheapest first class fare from orlando to philadelphia on southwest airlines on august twenty fourth EOS	O O B-cost_relative B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number atis_airfare
BOS show me ground transportation in san antonio EOS	O O O O B-city_name I-city_name atis_ground_service
BOS show me the fare for continental flight 296 from riverside to montreal EOS	O O O O B-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what variety of land transportation is available in denver EOS	O O O O O O O B-city_name atis_ground_service
BOS show the cheapest one way fly from boston to sacramento EOS	O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what are the first class fares from montreal to sanford EOS	O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS round trip fares from sanford to oakland less than 1500 dollars EOS	I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount atis_airfare
BOS list the total number of flights between all airports by midwest EOS	O O O O O O O O O B-airline_name atis_quantity
BOS what is the least expensive one way fare between boston and manhattan EOS	O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS i would like the time of all flights from st paul to montreal on wednesday EOS	O O O B-flight_time O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight_time
BOS i want a round trip fare from santa monica to port land EOS	O O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what is the thrift economy flight fare from washington to westchester county EOS	O O B-class_type B-economy O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS does any airline have a fast flight between hartford and baltimore EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS whats the cheapest round trip fare between orlando and washington EOS	O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS whats the schedule of flights from queens to montreal on august 1st EOS	O B-flight_time O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight_time
BOS what do you know about car rental in memphis EOS	O O O O B-transport_type I-transport_type O B-city_name atis_ground_service
BOS what car rentals are available next wed from boston airport EOS	B-transport_type I-transport_type O O B-depart_date.date_relative B-depart_date.day_name O B-fromloc.airport_name I-fromloc.airport_name atis_ground_service
BOS what kinds of planes are used by northwest airlines EOS	O O O O O O B-airline_name I-airline_name atis_aircraft
BOS show business class fares from los angeles to minneapolis on northwest airlines EOS	B-class_type I-class_type O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name atis_airfare
BOS show me fares from sanford to seattle EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what are the costs of flights from cleveland to montreal tomorrow EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative atis_airfare
BOS show me a list of ground transportation at memphis airport EOS	O O O O O O O B-airport_name I-airport_name atis_ground_service
BOS round trip fare from cleveland to hartford less than 1000 dollars EOS	I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount atis_airfare
BOS what is the ground transportation available in ottawa EOS	O O O O O O B-city_name atis_ground_service
BOS describe ground transportation in manhattan EOS	O O O B-city_name atis_ground_service
BOS please list ground transport in kansas city EOS	O O O O B-city_name I-city_name atis_ground_service
BOS im looking for ground transportation in pittsburgh EOS	O O O O O B-city_name atis_ground_service
BOS what kind of ground transportation is there once i get to cleveland EOS	O O O O O O O O O O B-city_name atis_ground_service
BOS what is the fare from nashville to tampa on northwest airlines EOS	O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name atis_airfare
BOS is there ground transportation from burbank airport to downtown burbank EOS	O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name atis_ground_service
BOS what ground transportation is there in memphis EOS	O O O O O B-city_name atis_ground_service
BOS first class price san francisco manhattan round trip EOS	I-class_type O B-fromloc.city_name I-fromloc.city_name B-fromloc.city_name B-round_trip I-round_trip atis_airfare
BOS how much is a 1st class ticket from riverside to san francisco EOS	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS how many nonstop flights going from burbank to queens april twenty seventh EOS	O B-flight_stop O O O B-fromloc.city_name O B-toloc.city_name B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number atis_quantity
BOS what are the most expensive first class tickets between burbank and montreal EOS	O O B-cost_relative I-cost_relative B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what time are the flights from baltimore to fort worth EOS	B-flight_time O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight_time
BOS what type of aircraft go from here to washington dc at one am EOS	O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_time.time I-depart_time.time atis_aircraft
BOS on the 10 am flight from st louis to charlotte what type of aircraft is used EOS	O B-depart_time.time I-depart_time.time O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O O O atis_aircraft
BOS what airlines fly between memphis and fort worth EOS	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airline
BOS what kind of plane is used on the earliest flight from oakland to san jose morning EOS	O O O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.period_of_day atis_aircraft
BOS what is the round trip 1st class fare on united from seattle to st louis EOS	O O B-round_trip I-round_trip B-class_type I-class_type O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
